metadata.features.title	"المميزات — كاشير مجاني ومخزون ومتجر إلكتروني"
returnsAndRefunds.features.subtitle	"صنفاً بصنف وسبباً بسبب — خطوات الإرجاع تسأل الأسئلة الصحيحة ليظل مخزونك وفلوسك مضبوطين."
returnsAndRefunds.features.items.restockControl.description	"قرر لكل صنف: هل يرجع للمخزون القابل للبيع؟ التالف والمنتهي والملوث يُعلَّم بسبب عدم إعادة تخزين — فلا يُباع مجدداً بالخطأ."
returnsAndRefunds.features.items.restockingFee.description	"اخصم رسم إعادة تخزين على الأصناف المرتجعة عندما تنص سياستك على ذلك — يُسجَّل على المرتجع ويُخصم من الاسترداد."
returnsAndRefunds.features.items.reasons.description	"كل مرتجع له سبب — غيّر رأيه، صنف خاطئ، معيب، تالف، مشكلة مقاس، وغيرها. والأسباب تغذي تقرير المرتجعات فتظهر الأنماط."
returnsAndRefunds.features.items.approval.description	"المرتجع يُنشأ معلقاً، ثم يُعتمد أو يُرفض أو يُلغى — والرفض والإلغاء يتطلبان سبباً مكتوباً. والمخزون لا يتحرك إلا بالاعتماد."
returnsAndRefunds.features.items.pendingProcess.description	"إنشاء الاسترداد لا يحرك فلوساً وحده. الاسترداد المعلق يُعالج بخطوة صريحة — أو يُلغى بسبب — فتتطابق الدفاتر مع الدرج."
returnsAndRefunds.howItWorks.step2.description	"المرتجع المعلق يُراجع ويُعتمد — أو يُرفض بسبب مكتوب. وعند الاعتماد ترجع الأصناف القابلة لإعادة التخزين إلى المخزون تلقائياً."
returnsAndRefunds.howItWorks.step3.description	"أنشئ الاسترداد — كاملاً أو جزئياً — واختر الطريقة وعالجه. استرداد رصيد المتجر يصل لحساب العميل لحظة المعالجة."
returnsAndRefunds.refundMethods.items.cash.when	"العميل دفع كاش ويريد كاش — من الدرج مباشرة، ومسجل"
returnsAndRefunds.refundMethods.items.online.when	"استرداد دفعة رقمية — متاح عندما تكون الدفعة الأصلية إلكترونية"
returnsAndRefunds.refundMethods.items.storeCredit.when	"الاسترداد يصبح رصيداً في حساب العميل — والفلوس تبقى داخل تجارتك"
returnsAndRefunds.faq.items.q1.answer	"نعم — هذا نوع «استرداد فقط». ترجع الفلوس على الطلب بدون سجل مرتجع وبدون حركة مخزون. مفيد للتعويضات والمجاملات."
returnsAndRefunds.faq.items.q2.answer	"نعم — «إرجاع فقط». ترجع الأصناف وتدخل المخزون (أو تُعلَّم كغير قابلة للتخزين) بدون فلوس تخرج. مفيد للاستبدال وحالات الضمان."
returnsAndRefunds.faq.items.q4.answer	"لا — المرتجع والاسترداد خطوتان منفصلتان مقصودتان. اعتماد المرتجع يسوّي البضاعة، ثم تنشئ استرداداً وتعالجه لتسوية الفلوس. لا شيء يتحرك بالصدفة."
returnsAndRefunds.faq.items.q5.answer	"اختر «رصيد المتجر» كطريقة الاسترداد (يشترط أن يكون للطلب عميل). وعند معالجة الاسترداد يُضاف المبلغ لرصيد العميل — ليصرفه في أي طلب قادم."
returnsAndRefunds.faq.items.q7.answer	"نعم. عند إعادة تخزين صنف مرتجع يمكنك إضافة رسم إعادة تخزين — يُسجَّل على المرتجع وينعكس في مبلغ الاسترداد."
returnsAndRefunds.faq.items.q8.answer	"نعم. تقرير المرتجعات يعرض معدل الإرجاع وتفصيل الأسباب والمنتجات الأكثر إرجاعاً وقيمة المرتجعات الكلية — فتظهر المشاكل المتكررة بدلاً من أن تتكرر."
returnsAndRefunds.cta.description	"خطوات واضحة، ومخزون مضبوط، واسترداد له سجل — جهّز كل ذلك مجاناً في دقائق."
returnsAndRefunds.screenshot.caption	"عرض مباشر — المرتجعات"
multiStoreManagement.hero.subtitle	"كل فرع له مخزونه وأسعاره وطرق دفعه وإيصالاته — وأنت تراها كلها من لوحة واحدة. حوّل المخزون بين الفروع، وحدد لكل موظف فرعه، وقارن الفروع جنباً إلى جنب."
multiStoreManagement.problem.subtitle	"محل واحد يسعه رأسك. اثنان لا. لحظة افتتاح الفرع الثاني، يصبح لكل سؤال — المخزون والأسعار والموظفون والأرقام — إجابتان لا تعرفان بعضهما."
multiStoreManagement.problem.items.stockBlindness.description	"عميل يريد مقاساً نفد هنا — هل هو متوفر في فرع وسط البلد؟ بدون رؤية مشتركة، الإجابة مكالمة وانتظار، وغالباً بيعة ضائعة."
multiStoreManagement.problem.items.priceDrift.description	"تعديل سعر يصل لفرع ولا يصل للآخر. والعملاء يلاحظون قبلك — وشرح الفرق لهم ليس موقفاً لطيفاً أبداً."
multiStoreManagement.features.items.oneAccount.description	"أضف فروعاً حسب باقتك — محلاً أو مخزناً أو كشكاً. فرعك الأول يُنشأ تلقائياً عند التسجيل، والباقي يستغرق دقيقة للواحد."
multiStoreManagement.features.items.perStorePricing.description	"حدد أسعاراً خاصة بفرع معين لكل نسخة منتج عندما تخدم فروعك مناطق أو شرائح مختلفة — عن قصد، لا بالصدفة."
multiStoreManagement.features.items.transfers.description	"انقل بضاعة من فرع لآخر بتحويل مسجل — الكميات تخرج من فرع وتدخل الآخر، والأثر محفوظ."
multiStoreManagement.features.items.perStoreConfig.description	"العملة وطرق الدفع وخيارات التنفيذ ومناطق التوصيل ورسوم الخدمة ومحتوى الإيصال وقنوات البيع — كلها تُضبط لكل فرع على حدة."
multiStoreManagement.features.items.scopedRoles.description	"أسند الأدوار على مستوى التجارة كلها أو على فرع واحد. كاشير فرع وسط البلد يرى وسط البلد — ولا شيء غيره."
multiStoreManagement.howItWorks.subtitle	"الإعداد دقائق لا أسابيع — لأن كل ما بنيته للفرع الأول ينتقل معك."
multiStoreManagement.howItWorks.step1.description	"الاسم والعملة وبيانات الاتصال والعنوان — احفظ، وسيكون الفرع جاهزاً بكود متجر يتولد تلقائياً."
multiStoreManagement.howItWorks.step2.description	"فعّل طرق دفعه، وحدد خيارات التنفيذ ومناطق التوصيل، وعدّل بيانات الإيصال، واملأه بالبضاعة — من جديد أو بتحويل من فرع آخر."
multiStoreManagement.howItWorks.step3.description	"الموظفون يبيعون كلٌّ في فرعه، وأنت تراقب كل الفروع من لوحة واحدة — المخزون والطلبات والإيرادات لكل فرع، بمقارنة تلقائية."
multiStoreManagement.perStore.title	"ما الذي يستقل به كل فرع — وما المشترك"
multiStoreManagement.perStore.items.catalogue.scope	"مشترك — عرّف منتجاتك مرة، وبِعها في أي فرع"
multiStoreManagement.perStore.items.inventory.scope	"لكل فرع — كل نسخة لها رقم مخزون خاص في كل فرع"
multiStoreManagement.perStore.items.payments.scope	"لكل فرع — كل فرع يفعّل ما يقبله"
multiStoreManagement.perStore.items.fulfillment.scope	"لكل فرع — الاستلام ومناطق التوصيل والرسوم لكل فرع"
multiStoreManagement.perStore.items.receipts.scope	"لكل فرع — كل فرع يطبع ببياناته"
multiStoreManagement.perStore.items.channels.scope	"لكل فرع — فعّل القنوات فرعاً بفرع"
multiStoreManagement.perStore.items.staff.scope	"باختيارك — للتجارة كلها أو لفرع واحد"
multiStoreManagement.faq.items.q1.answer	"حسب باقتك — كل باقة تشمل عدداً من الفروع. فرعك الأول يُنشأ تلقائياً عند التسجيل، وتضيف المزيد من الإعدادات في حدود باقتك."
multiStoreManagement.faq.items.q2.answer	"نعم. تحويلات المخزون تنقل الكميات بين الفروع بسجل كامل — ماذا انتقل، ومن أين، وإلى أين، ومتى. بلا مطابقات على جداول خارجية."
multiStoreManagement.faq.items.q4.answer	"نعم. العملة تُحدد لكل فرع — مفيد عندما تعمل فروعك في أسواق مختلفة."
multiStoreManagement.faq.items.q6.answer	"نعم. التقارير تتقسم بالفرع — نصيب كل فرع من الإيرادات، مع فلاتر الفرع في الطلبات والمخزون. واضغط على أي فرع في رسم المبيعات لتفتح طلباته."
multiStoreManagement.faq.items.q7.answer	"يتوقف الفرع عن استقبال أي نشاط جديد بدون أن يفقد شيئاً — سجله ومخزونه وإعداداته تبقى كما هي. ويمكنك إعادة تفعيله في أي وقت."
multiStoreManagement.cta.description	"ابدأ مجاناً بفرعك الأول — وعندما يفتح الفرع الثاني، ضمّه في دقائق."
multiStoreManagement.screenshot.caption	"عرض مباشر — المتاجر"
teamManagement.hero.subtitle	"كفى مشاركة لكلمة سر المالك. أعطِ كل موظف حسابه الخاص بالصلاحيات التي يحتاجها عمله بالضبط — الكاشير يبيع، والمحاسب يرى الفلوس، وموظف المخزن يلمس المخزون — وكل إجراء يُسجَّل باسم صاحبه."
teamManagement.problem.items.sharedLogin.description	"الفريق كله على حساب واحد يعني أن أي موظف يستطيع رؤية الأرباح وتغيير الأسعار وحذف المنتجات وإلغاء الطلبات — سواء كان يجب أن يستطيع أم لا."
teamManagement.problem.items.allOrNothing.description	"تريد للموظف الجديد أن يسجل المبيعات — لا أن يرى تقارير الإيرادات أو يعدل الكتالوج. بدون أدوار، لا يمكنك إعطاء الأول بدون الثاني."
teamManagement.problem.items.exStaffRisk.description	"موظف يستقيل، وكلمة السر التي يعرفها ما زالت تعمل. وتغييرها يعني إبلاغ الجميع بالجديدة — وتتكرر الدورة."
teamManagement.features.items.invite.description	"أدخل اسمه وبريده واسم المستخدم ودوره. يولّد كاشفيو كلمة سر مؤقتة تسلمها له بنفسك — لا دعوات بريد تضيع، ويمكنك تصفيرها في أي وقت."
teamManagement.features.items.permissions.description	"الصلاحيات على شكل إجراء-على-مورد: عرض الطلبات، إنشاء المنتجات، اعتماد أوامر الشراء، معالجة الاستردادات — امنح كل دور ما يحتاجه بالضبط، ولا شيء أكثر."
teamManagement.features.items.systemRoles.description	"مدير بكامل الصلاحيات، وكاشير للبيع اليومي، ومحاسب للاطلاع المالي — تستخدمها من اليوم الأول بدون أي إعداد."
teamManagement.features.items.customRoles.description	"أنشئ ما يحتاجه فريقك من أدوار — دور «موظف مخزن» مقصور على المخزون وأوامر الشراء، ودور «مشرف» يستطيع إلغاء الطلبات. سمِّه، وعلّم الصلاحيات، واحفظ."
teamManagement.features.items.adaptiveUI.description	"كل موظف يرى فقط القوائم والأزرار والإجراءات التي تسمح بها صلاحياته. لا أزرار ممنوعة ولا حيرة — شاشة الكاشير شاشة كاشير."
teamManagement.features.items.deactivate.description	"موظف يغادر؟ أوقف حسابه — يتوقف دخوله فوراً ويبقى سجله كاملاً. ولو عاد، أعد تفعيله بضغطة."
teamManagement.howItWorks.step1.description	"ابدأ بدور جاهز — كاشير أو محاسب — أو أنشئ دوراً مخصصاً وعلّم بالضبط الصلاحيات التي يحتاجها العمل."
teamManagement.howItWorks.step2.description	"أدخل بياناته، وأسند الدور — للتجارة كلها أو لفرع واحد — وسلّمه كلمة السر المؤقتة التي يولدها كاشفيو."
teamManagement.howItWorks.step3.description	"يدخل فيرى عمله فقط. والطلبات والتسويات والمرتجعات التي ينشئها تحمل اسمه — وتقرير الموظفين يعرض أداء الجميع."
teamManagement.permissionGroups.subtitle	"كل قسم له إجراءاته — توزعها على الأدوار، وصلاحية العرض تُضاف تلقائياً مع أي إجراء تمنحه."
teamManagement.faq.items.q1.answer	"لا. يولّد كاشفيو كلمة سر مؤقتة تظهر مرة واحدة مع زر نسخ — وتشاركها مع الموظف بنفسك، وجهاً لوجه أو عبر وسيلة تثق بها. ولو ضاعت، حدد كلمة سر جديدة من ملفه."
teamManagement.faq.items.q2.answer	"باسم المستخدم أو البريد مع كلمة السر. كل شخص له بياناته الخاصة — وكلمة سر المالك تبقى مع المالك."
teamManagement.faq.items.q4.answer	"ثلاثة أدوار نظام تأتي مع كاشفيو: مدير (وصول كامل)، وكاشير (البيع اليومي)، ومحاسب (اطلاع مالي). لا يمكن تعديلها — لكن يمكنك إنشاء ما تشاء من أدوار مخصصة بجانبها."
teamManagement.faq.items.q5.answer	"نعم — امنحه صلاحية العرض فقط لذلك القسم. ومنح أي إجراء (إنشاء، تعديل، حذف) يتضمن العرض تلقائياً، لأن أحداً لا يعدل ما لا يراه."
teamManagement.faq.items.q6.answer	"أوقف حسابه — يتوقف دخوله فوراً، وكل ما أنشأه يظل يحمل اسمه في سجلاتك. وأعد تفعيله في أي وقت لو عاد."
teamManagement.faq.items.q8.answer	"نعم. تقرير الموظفين يعرض إيراد كل عضو، وعدد الطلبات التي أنجزها، واتجاه أدائه — مفيد للجداول والأهداف والمكافآت."
teamManagement.screenshot.caption	"عرض مباشر — مساحة عمل فريق المتجر"
tools.hero.subtitle	"مولد باركود، ومولد رموز QR، وحاسبة هامش الربح — مجانًا، في المتصفح، وبدون تسجيل."
tools.items.margin.description	"شاهد الربح والهامش ونسبة الربح من أرقامك — أو ابدأ من هامش مستهدف واحصل على السعر."
tools.cta.subtitle	"كاشفيو يعطيك كاشير مجاني ومتجرًا إلكترونيًا مجانيًا ومخزونًا وتقارير أرباح — الأدوات دي مجرد البداية."
tools.cta.note	"خطة مجانية للأبد — بدون بطاقة ائتمان"
barcodeGenerator.tool.formats.CODE128	"Code 128 — أي نص، الأنسب لأكواد SKU"
barcodeGenerator.tool.formats.EAN13	"EAN-13 — معيار التجزئة، 12–13 رقمًا"
barcodeGenerator.tool.ean13Hint	"أدخل 12 رقمًا وسيُحسب رقم التحقق تلقائيًا — أو 13 رقمًا برقم تحقق صحيح."
barcodeGenerator.pitch.subtitle	"كاشفيو يحوّل كتالوج منتجاتك إلى أوراق ملصقات A4 جاهزة للطباعة — وكل مسحة على الكاشير تحدّث مخزونك."
barcodeGenerator.pitch.p3.description	"كل عملية بيع بالمسح تعدّل المخزون تلقائيًا — بلا دفاتر عدّ."
barcodeGenerator.faq.q1.answer	"نعم — أنشئ وحمّل ما تشاء من الباركودات. بدون علامة مائية، بدون حساب، وبدون حدود."
barcodeGenerator.faq.q2.answer	"استخدم Code 128 لأكوادك الداخلية — يقبل حروفًا وأرقامًا ويُمسح بموثوقية على أي قارئ حديث. واستخدم EAN-13 فقط عندما تحتاج معيار التجزئة المكوَّن من 13 رقمًا."
barcodeGenerator.cta.subtitle	"استورد منتجاتك إلى كاشفيو واطبع أوراق ملصقات كاملة بضغطة واحدة — على الخطة المجانية."
barcodeGenerator.cta.note	"خطة مجانية للأبد — بدون بطاقة ائتمان"
qrCodeGenerator.hero.subtitle	"أنشئ رمز QR لرابط متجرك أو رقم واتساب أو المنيو — وحمّل PNG عالي الدقة يظل قابلًا للمسح في الطباعة."
qrCodeGenerator.steps.s3.description	"اختر الحجم — الطباعة الأكبر تحتاج حجمًا أكبر — واحفظ ملف PNG."
qrCodeGenerator.pitch.subtitle	"كاشفيو يعطي محلّك متجرًا إلكترونيًا مجانيًا — ويطبع لك مواد QR جاهزة."
qrCodeGenerator.pitch.p1.description	"منتجاتك على رابط متجرك الخاص، جاهزة لاستقبال الطلبات — يشتغل في دقائق."
qrCodeGenerator.pitch.p3.description	"الإيصالات المطبوعة تحمل رمز QR للإيصال الرقمي — العميل يحتفظ بالرابط وأنت تبدو أكثر احترافية."
qrCodeGenerator.faq.q1.answer	"مجاني وبلا حدود — والرموز لا تنتهي صلاحيتها أبدًا، لأن الصورة نفسها تشفّر نصك بشكل دائم."
qrCodeGenerator.faq.q3.answer	"نعم — الصق رابط wa.me برقمك وسيفتح الرمز محادثة معك عند مسحه."
qrCodeGenerator.cta.note	"خطة مجانية للأبد — بدون بطاقة ائتمان"
marginCalculator.hero.subtitle	"شاهد الربح والهامش ونسبة الربح من تكلفتك وسعرك — أو حدّد هامشًا مستهدفًا واحصل على سعر البيع المطلوب."
marginCalculator.tool.sellingBelowCost	"أنت تبيع بأقل من التكلفة — هذا السعر يخسر."
marginCalculator.tool.marginTooHigh	"الهامش يجب أن يكون أقل من 100% — لا يوجد سعر بيع يحققه."
marginCalculator.steps.s1.description	"احسب ما تكلّفك الوحدة فعلًا — سعر الشراء والتغليف والتوصيل إلى محلك."
marginCalculator.steps.s3.description	"الربح للوحدة، والهامش (نسبة من السعر)، ونسبة الربح (نسبة من التكلفة) — تتحدث مباشرة."
marginCalculator.pitch.subtitle	"كاشفيو يتابع الأرقام الحقيقية تلقائيًا — لكل منتج ولكل عملية بيع."
marginCalculator.pitch.p3.description	"تقارير الأرباح تُظهر المنتجات التي تكسب فعلًا — لا التي تُباع فقط."
marginCalculator.faq.q2.answer	"يختلف حسب الفئة — البقالة غالبًا 10–25%، والملابس والإكسسوارات 40–60%. راقب أرقامك لكل منتج بدل قاعدة واحدة للجميع."
marginCalculator.faq.q3.answer	"نعم — يسجّل التكلفة والربح على كل عملية بيع ويعرض الهامش لكل منتج في تقرير الأرباح، على الخطة المجانية."
marginCalculator.cta.title	"اعرف ربحك الحقيقي — تلقائيًا"
marginCalculator.cta.note	"خطة مجانية للأبد — بدون بطاقة ائتمان"
industryCafe.hero.subtitle	"بيع سريع، وطلبات مخصوصة، وحالة طلب مباشرة — مجانًا للكوفي شوب أو محل العصائر أو الحلواني."
industryCafe.pains.p1.description	"الطلبات المكتوبة بخط اليد تبطّئ الصف — والصف البطيء يفقدك زبائن كل ما يريدونه قهوتهم."
industryCafe.pains.p2.description	"شوت زيادة، حليب شوفان، من غير سكر — تفاصيل مشخبطة على الأكواب تُنسى ويُعاد تحضيرها."
industryCafe.features.f3.description	"ملاحظات لكل صنف — شوت زيادة، ثلج أقل — تُطبع مع الطلب فلا يُعاد تحضير شيء."
industryCafe.features.f6.description	"مبيعات وربح اليوم — بحسب المنتج وبحسب الموظف."
industryCafe.faq.q1.answer	"نعم — الكاشير يعمل في المتصفح على التابلت واللابتوب والهاتف. لا يلزم أي جهاز خاص."
industryCafe.faq.q2.answer	"نعم — الخطة المجانية تشمل متجرًا إلكترونيًا على رابطك الخاص يتصفح منه العملاء المنيو ويطلبون استلامًا أو توصيلًا."
industryCafe.faq.q3.answer	"نعم — طابعات الإيصالات الحرارية مدعومة، إضافة إلى إيصالات رقمية يفتحها العميل من رمز QR."
industryCafe.cta.subtitle	"مجاني لكافيهك — بدون بطاقة ائتمان وبدون مكالمة مبيعات."
industryClothing.hero.subtitle	"متغيرات، وملصقات باركود، ومرتجعات برصيد متجر، وبوتيك إلكتروني مجاني — مبني لتجارة الملابس."
industryClothing.pains.p1.description	"التيشيرت الواحد فعليًا 12 منتجًا — من S إلى XXL في أربعة ألوان — والورق لا يعرف أيّها بِيع."
industryClothing.pains.p2.description	"مرتجعات المقاس الغلط بلا سجلات تتحول إلى جدال — وتسرّب فلوسًا في صمت."
industryClothing.features.f1.description	"المقاسات والألوان كمتغيرات فعلية — لكل واحد SKU ومخزون وسعر خاص به."
industryClothing.features.f3.description	"اقبل المرتجعات بأسباب مسجلة واسترد برصيد متجر — الفلوس تفضل جوة محلك."
industryClothing.faq.q1.answer	"نعم — ارفع ملف CSV أو Excel عبر معالج الاستيراد؛ يتحقق من المقاسات والأسعار وأكواد SKU قبل حفظ أي شيء."
industryClothing.faq.q2.answer	"اختر القطع، سجّل السبب، حدّد إرجاعها للمخزون أم لا، واسترد نقدًا أو برصيد متجر — كل خطوة مسجلة."
industryClothing.faq.q3.answer	"نعم — المتجر يعرض المتاح لكل مقاس ولون، والمتغيرات الناقصة لا يمكن طلبها."
industryClothing.cta.subtitle	"مجاني لبوتيكك — ابدأ بأكثر قطعك مبيعًا اليوم."
industryMinimarket.hero.subtitle	"بيع بمسح الباركود، ودفتر حساب رقمي، وتنبيهات نقص المخزون، وأوامر شراء للموردين — مجانًا للميني ماركت والبقالة."
industryMinimarket.pains.p1.description	"الجيران يشترون بالأجل، والدفتر هو اللي بيحدد الكاش عندك — لحد ما ورقة تضيع."
industryMinimarket.features.f1.description	"وصّل قارئ باركود USB وطيّر في الحساب — الأصناف تتسجل فورًا."
industryMinimarket.features.f2.description	"بيع الآن وحصّل لاحقًا — دفعات جزئية وتواريخ استحقاق وقائمة متأخرات لكل عميل."
industryMinimarket.features.f6.description	"مبيعات اليوم والربح الحقيقي بعد التكاليف — بحسب المنتج وبحسب الكاشير."
industryMinimarket.faq.q1.answer	"نعم — أي قارئ USB يعمل مباشرة دون إعداد: امسح، والصنف ينزل في الفاتورة."
industryMinimarket.faq.q2.answer	"نعم — سجّل بيعًا بدفعة جزئية أو دفع لاحق بتاريخ استحقاق، وشاهد بالظبط مين مديون بكام في قائمة المتأخرات."
industryMinimarket.faq.q3.answer	"نعم — الخطة المجانية تشمل الكاشير والمخزون وأوامر الشراء والتقارير، بمنتجات وطلبات بلا حدود."
industryMinimarket.cta.subtitle	"الكاشير والمخزون ودفتر الحساب — نظام واحد مجاني."
